Prefecture,Area,市区町村,,,Len,区,duplicated,Reference
,その他宮崎県,都城市,,1,3,,,
,,延岡市,,1,3,,,
,,日南市,,1,3,,,
,,小林市,,1,3,,,
,,日向市,,1,3,,,
,,串間市,,1,3,,,
,,西都市,,1,3,,,
,,えびの市,,1,4,,,
,,三股町,,1,3,,,
,,高原町,,1,3,,,
,,国富町,,1,3,,,
,,綾町,,1,2,,,
,,高鍋町,,1,3,,,
,,新富町,,1,3,,,
,,西米良村,,1,4,,,
,,木城町,,1,3,,,
,,川南町,,1,3,,,
,,都農町,,1,3,,,
,,門川町,,1,3,,,
,,諸塚村,,1,3,,,
,,椎葉村,,1,3,,,
,,美郷町,,3,3,,,
,,高千穂町,,1,4,,,
,,日之影町,,1,4,,,
,,五ヶ瀬町,,1,4,,,
鹿児島県,鹿児島市,鹿児島市,,1,4,,,
,その他鹿児島県,鹿屋市,,1,3,,,
,,枕崎市,,1,3,,,
,,阿久根市,,1,4,,,
,,出水市,,1,3,,,
,,指宿市,,1,3,,,
,,西之表市,,1,4,,,
,,垂水市,,1,3,,,
,,薩摩川内市,,1,5,,,
,,日置市,,1,3,,,
,,曽於市,,1,3,,,
,,霧島市,,1,3,,,
,,いちき串木野市,,1,7,,,
,,南さつま市,,1,5,,,
,,志布志市,,1,4,,,
,,奄美市,,1,3,,,
,,南九州市,,1,4,,,
,,伊佐市,,1,3,,,
,,姶良市,,1,3,,,
,,三島村,,1,3,,,
,,十島村,,1,3,,,
,,さつま町,,1,4,,,
,,長島町,,1,3,,,
,,湧水町,,1,3,,,
,,大崎町,,1,3,,,
,,東串良町,,1,4,,,
,,錦江町,,1,3,,,
,,南大隅町,,1,4,,,
,,肝付町,,1,3,,,
,,中種子町,,1,4,,,
,,南種子町,,1,4,,,
,,屋久島町,,1,4,,,
,,大和村,,1,3,,,
,,宇検村,,1,3,,,
,,瀬戸内町,,1,4,,,
,,龍郷町,,1,3,,,
,,喜界町,,1,3,,,
,,徳之島町,,1,4,,,
,,天城町,,1,3,,,
,,伊仙町,,1,3,,,
,,和泊町,,1,3,,,
,,知名町,,1,3,,,
,,与論町,,1,3,,,
沖縄県,那覇市,那覇市,,1,3,,,
,その他沖縄県,宜野湾市,,1,4,,,
,,石垣市,,1,3,,,
,,浦添市,,1,3,,,
,,名護市,,1,3,,,
,,糸満市,,1,3,,,
,,沖縄市,,1,3,,,
,,豊見城市,,1,4,,,
,,うるま市,,1,4,,,
,,宮古島市,,1,4,,,
,,南城市,,1,3,,,
,,国頭村,,1,3,,,
,,大宜味村,,1,4,,,
,,東村,,1,2,,,
,,今帰仁村,,1,4,,,
,,本部町,,1,3,,,
,,恩納村,,1,3,,,
,,宜野座村,,1,4,,,
,,金武町,,1,3,,,
,,伊江村,,1,3,,,
,,読谷村,,1,3,,,
,,嘉手納町,,1,4,,,
,,北谷町,,1,3,,,
,,北中城村,,1,4,,,
,,中城村,,1,3,,,
,,西原町,,1,3,,,
,,与那原町,,1,4,,,
,,南風原町,,1,4,,,
,,渡嘉敷村,,1,4,,,
,,座間味村,,1,4,,,
,,粟国村,,1,3,,,
,,渡名喜村,,1,4,,,
,,南大東村,,1,4,,,
,,北大東村,,1,4,,,
,,伊平屋村,,1,4,,,
,,伊是名村,,1,4,,,
,,久米島町,,1,4,,,
,,八重瀬町,,1,4,,,
,,多良間村,,1,4,,,
,,竹富町,,1,3,,,
,,与那国町,,1,4,,,
